status,product,credit_term,credit_amount,know_source,loan_purpose,passport_type,social_status,education,faculty,birthday,gender,family_status,children16,liv_equal,emp_type,income,income_period,income_next,exp_loans,cp_relation,app_rank,mphone_code,cp_phone_code,income_status,filling_time
1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.75,0.6,0.1,0.33941032798325194,0.0,1.0,0.0,0.0,0.6,0.02,0.75,3.422266635638116e-05,0.0,0.75,0.043478260869565216,0.9595959595959596,0.6666666666666666,0.3333333333333333,0.027887892064816747
0.0,0.0,1.0,0.5,0.625,0.0,0.0,0.25,0.4,0.2,0.5623255408234473,0.0,0.75,0.2,1.0,0.2,0.03,0.75,4.106719962765739e-06,0.0,0.375,0.043478260869565216,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4900781231889097
1.0,1.0,0.7142857142857143,0.45,0.625,0.0,1.0,0.75,0.8,0.2,0.35986566643405443,1.0,1.0,0.0,1.0,0.2,0.022333333333333334,0.75,8.213439925531478e-06,0.0,0.875,0.043478260869565216,0.6363636363636364,0.98989898989899,0.6666666666666666,0.4306859540533648
0.0,0.0,1.0,1.0,0.625,0.1111111111111111,1.0,0.75,0.4,0.7,0.43191730635031406,1.0,1.0,0.0,0.0,0.8,0.02666666666666667,1.0,2.4640319776594433e-05,0.0,0.5,0.043478260869565216,0.98989898989899,0.9797979797979798,0.6666666666666666,0.03165495977930778
0.0,0.0,1.0,0.5,0.625,0.0,0.0,0.75,0.8,0.8,0.6137909979064898,1.0,1.0,0.0,1.0,0.2,0.04,1.0,2.4640319776594433e-05,0.025,1.0,0.043478260869565216,0.98989898989899,0.6767676767676768,0.6666666666666666,0.04638709228736351
0.0,0.0,0.5,0.975,0.625,0.4444444444444444,1.0,0.75,0.8,0.2,0.49018667131891136,1.0,1.0,0.0,1.0,1.0,0.1,0.75,1.2320159888297217e-05,0.03333333333333333,0.875,0.043478260869565216,0.9696969696969697,0.6868686868686869,0.6666666666666666,0.015531909961286132
0.0,1.0,1.0,0.5,0.5,0.4444444444444444,1.0,0.75,0.4,0.2,0.9538991625959525,0.0,0.75,0.0,1.0,0.8,0.026,1.0,1.2320159888297217e-05,0.0,0.625,0.043478260869565216,1.0,0.98989898989899,0.6666666666666666,0.036337714722859724
0.0,1.0,0.7142857142857143,0.125,0.625,0.0,1.0,0.75,0.2,0.0,0.35197138869504535,0.0,1.0,0.1,1.0,0.8,0.016666666666666666,0.75,5.201845286169936e-05,0.0033333333333333335,1.0,0.043478260869565216,0.6868686868686869,0.5050505050505051,0.6666666666666666,0.47944919674525344
0.0,0.0,0.42857142857142855,0.5,0.5,0.7777777777777778,1.0,0.75,0.8,0.8,0.560973482205164,1.0,0.5,0.1,1.0,0.2,0.04666666666666667,0.5,6.844533271276231e-06,0.08333333333333333,1.0,0.043478260869565216,0.6868686868686869,0.6666666666666666,0.6666666666666666,0.4965227067250852
0.0,0.0,1.0,1.0,0.625,0.1111111111111111,1.0,0.25,0.4,0.8,0.5775034891835311,0.0,1.0,0.1,1.0,0.2,0.056666666666666664,0.0,0.0,0.0,0.125,0.043478260869565216,0.6767676767676768,0.9393939393939394,0.6666666666666666,0.36280918932702777
